id,町字,レイヤー,種別,名称,住所,緯度,経度,説明あり,現teaser,担当,写真ファイル名,伏せた一行,到着後の説明
7785,三ノ輪,体験する,銭湯,改栄湯,東京都台東区三ノ輪2-10-15,35.730135,139.794317,,番台の向こうに湯気が立つ、地元の風呂,,,,
7553,三ノ輪,静かに歩く,児童遊園,三ノ輪児童遊園,三ノ輪2-5-5,35.729443,139.793232,,腰を下ろせるベンチと木陰がある場所,,,,
7804,三ノ輪,静かに歩く,公園,東盛公園,東京都台東区三ノ輪1-23-2,35.728213,139.792932,,歩き疲れた足を休められる場所,,,,
7709,三筋,体験する,革服・アパレル,Obelisk,東京都台東区三筋1-6-3,35.703224,139.785492,,革服・アパレルの職人が手を動かしている仕事場,,,,
7800,三筋,体験する,銭湯,三筋湯,東京都台東区三筋2-13-2,35.705689,139.786476,,番台の向こうに湯気が立つ、地元の風呂,,,,
7710,三筋,体験する,東京銀器,日伸貴金属,東京都台東区三筋1-3-13 伊藤ビル1階,35.703999,139.78714,,作っているところを覗ける東京銀器の工房,,,,
7776,三筋,体験する,東京銀器,有限会社日伸貴金属,東京都台東区三筋1-3-13,35.703999,139.78714,,「東京銀器」を今も手で作っている工房,,,,
7777,三筋,体験する,東京銀器,有限会社日伸貴金属,東京都台東区三筋1-3-13,35.703999,139.78714,,「東京銀器」を今も手で作っている工房,,,,
7560,三筋,静かに歩く,児童遊園,三筋二丁目児童遊園,三筋2-16-8,35.705835,139.787115,,腰を下ろせるベンチと木陰がある場所,,,,
7541,三筋,静かに歩く,児童遊園,小島児童遊園,三筋1-9-1,35.703235,139.784645,,誰にも急かされずに座っていられる場所,,,,
7642,下谷,体験する,老舗,小泉桶甚本店,東京都台東区下谷１－１－５,35.717644,139.781265,,木の桶を、いまも手で組み上げている店,,,,
7654,下谷,体験する,江戸指物,江戸指物　木村,東京都台東区下谷3-1-1,35.722736,139.785736,,「江戸指物」を今も手で作っている工房,,,,
7768,下谷,体験する,江戸指物,江戸指物　木村,東京都台東区下谷3-1-1,35.722736,139.785736,,「江戸指物」を今も手で作っている工房,,,,
7519,下谷,街を見る,名所・史跡,入谷鬼子母神,下谷1-12-16（真源寺内）,35.719754,139.782834,,朝顔市で知られる、子どもを守る神さま,,,,
7813,下谷,静かに歩く,公園,金杉公園,東京都台東区下谷3-5-12,35.724104,139.785764,,子どもの声が聞こえる、町の小さな広場,,,,
7828,今戸,静かに歩く,公園,今戸公園,東京都台東区今戸2-24-1,35.721355,139.806383,,誰にも急かされずに座っていられる場所,,,,
7863,今戸,静かに歩く,公園,吉野公園,東京都台東区今戸1-11-7,35.720645,139.802023,,腰を下ろせるベンチと木陰がある場所,,,,
7681,元浅草,体験する,金属プレス加工,アトリエ店舗 IMAIZUMI（㈱今泉）,東京都台東区元浅草3-9-8,35.707195,139.786118,,金属プレス加工の職人が手を動かしている仕事場,,,,
7644,元浅草,体験する,老舗,南部屋五郎右衛門,東京都台東区元浅草２－１０－１０,35.710915,139.784042,,太鼓・神輿の職人が手を動かしている仕事場,,,,
7682,元浅草,体験する,太鼓・神輿,南部屋五郎右衛門,東京都台東区元浅草2-10-10,35.710915,139.784042,,太鼓・神輿の職人が手を動かしている仕事場,,,,
7684,元浅草,体験する,七宝アクセサリー,坂森七宝工芸店,東京都台東区元浅草1-2-1,35.706898,139.784271,,作っているところを覗ける七宝アクセサリーの工房,,,,
